word,category
explicit,explicit material
sexually,explicit material
sexual,explicit material
sex,sexual inappropriateness
rape,rape
sex,explicit material
security,security
containing,explicit material
nudity,nudity
threat,violence
violence,violence
nude,nudity
criminal,violence
fighting,violence
inappropriate,sexual inappropriateness
contraband,security
incest,sexual inappropriateness
w/minor,sexual inappropriateness
escape,security
safety,security
drug,drugs
weapon,security
bondage,sexual inappropriateness
obscene,sexual inappropriateness
manufacture,security
pictorially,explicit material
order/security,security
indecency,sexual inappropriateness
w/child,sexual inappropriateness
violent,security
racial,racism
crime,security
manipulation,security
abuse,security
offender,security
torture,violence
erotica,explicit material
sadism,violence
safe,security
frontal,explicit material
offensive/defensive,violence
religious,blasphemy
inflammatory,violence
alcohol,drugs
rehabilitation,drugs
masochism,sexual inappropriateness
murder,violence
computer,security
offensive,sexual inappropriateness
sado-masochistic,sexual inappropriateness
african,racism
gambling,gambling
gory,security
objectionable,sexual inappropriateness
pornography,sexual inappropriateness
breast,nudity
health,security
gruesome,security
bestiality,sexual inappropriateness
molestation,violence
victim,violence
religion,blasphemy
blood,violence
erotic,nudity
incendiary,security
inflamatory,security
necrophilia,necrophilia
alcoholic,drugs
alcohol,drugs
ethnic,racism
consensual,sexual inappropriateness
inapproprate,sexual inappropriateness
prostitution,sexual inappropriateness
explciit,nudity
beverage,drugs
sadism/masochism,sexual inappropriateness
porn,sexual inappropriateness
beat,violence
beats,violence
molestation,violence
lynchings,violence
